,number,value,datetime_start,datetime_complete,duration,params_basis_window,params_coint_window,params_horizon,params_n_estimators,params_ofi_window,params_threshold,params_vol_window,state
0,0,0.0,2025-11-07 19:30:21.014886,2025-11-07 19:30:24.429571,0 days 00:00:03.414685,196,144,42,935,138,0.037729450097618654,63,COMPLETE
1,1,0.0,2025-11-07 19:30:24.429811,2025-11-07 19:30:27.206117,0 days 00:00:02.776306,121,104,42,738,181,0.039439796334106506,135,COMPLETE
2,2,0.0,2025-11-07 19:30:27.206616,2025-11-07 19:30:30.411622,0 days 00:00:03.205006,71,182,52,210,133,0.045901068521228675,181,COMPLETE
3,3,0.0,2025-11-07 19:30:30.412082,2025-11-07 19:30:33.050880,0 days 00:00:02.638798,64,168,13,650,81,0.03774669996626018,152,COMPLETE
4,4,0.0,2025-11-07 19:30:33.051079,2025-11-07 19:30:34.643857,0 days 00:00:01.592778,71,104,31,228,101,0.0351187063946051,188,COMPLETE
5,5,0.0,2025-11-07 19:30:34.644035,2025-11-07 19:30:36.080582,0 days 00:00:01.436547,158,63,20,188,147,0.049522873784238065,185,COMPLETE
6,6,0.0,2025-11-07 19:30:36.080770,2025-11-07 19:30:38.622911,0 days 00:00:02.542141,71,140,31,643,159,0.03230080109324282,91,COMPLETE
7,7,0.0,2025-11-07 19:30:38.623161,2025-11-07 19:30:41.662042,0 days 00:00:03.038881,91,177,26,821,198,0.03341008211761433,85,COMPLETE
8,8,0.0,2025-11-07 19:30:41.662285,2025-11-07 19:30:43.247226,0 days 00:00:01.584941,121,104,54,164,70,0.04274118137497703,192,COMPLETE
9,9,0.0,2025-11-07 19:30:43.247449,2025-11-07 19:30:44.539233,0 days 00:00:01.291784,163,128,42,110,193,0.04931173041431794,95,COMPLETE
10,10,0.0,2025-11-07 19:30:44.539413,2025-11-07 19:30:47.861561,0 days 00:00:03.322148,199,148,43,958,104,0.042705410485492944,72,COMPLETE
11,11,0.0,2025-11-07 19:30:47.861837,2025-11-07 19:30:52.579472,0 days 00:00:04.717635,120,101,42,987,170,0.03864323839256046,127,COMPLETE
12,12,0.0,2025-11-07 19:30:52.579979,2025-11-07 19:30:56.178817,0 days 00:00:03.598838,147,79,60,813,177,0.03614517955445964,124,COMPLETE
13,13,0.0,2025-11-07 19:30:56.179112,2025-11-07 19:30:59.277881,0 days 00:00:03.098769,184,124,39,447,133,0.030179451758504623,150,COMPLETE
14,14,0.0,2025-11-07 19:30:59.278329,2025-11-07 19:31:05.694760,0 days 00:00:06.416431,99,157,50,808,151,0.040845211689811596,112,COMPLETE
15,15,0.0,2025-11-07 19:31:05.695280,2025-11-07 19:31:08.050796,0 days 00:00:02.355516,135,198,35,466,112,0.040304616381509374,151,COMPLETE
16,16,0.0,2025-11-07 19:31:08.051023,2025-11-07 19:31:10.989035,0 days 00:00:02.938012,106,114,47,705,176,0.044666604078097895,62,COMPLETE
17,17,0.0,2025-11-07 19:31:10.989303,2025-11-07 19:31:14.601322,0 days 00:00:03.612019,173,84,60,904,123,0.037591168791683,109,COMPLETE
18,18,0.0,2025-11-07 19:31:14.601606,2025-11-07 19:31:16.996755,0 days 00:00:02.395149,139,136,36,524,188,0.03515517656598725,164,COMPLETE
19,19,0.0,2025-11-07 19:31:16.996959,2025-11-07 19:31:19.156987,0 days 00:00:02.160028,183,90,26,364,161,0.04246849928026078,138,COMPLETE
20,20,0.0,2025-11-07 19:31:19.157203,2025-11-07 19:31:22.064300,0 days 00:00:02.907097,115,66,47,729,144,0.046065446763154154,111,COMPLETE
21,21,0.0,2025-11-07 19:31:22.064573,2025-11-07 19:31:24.240384,0 days 00:00:02.175811,86,188,51,332,131,0.04710364970048937,172,COMPLETE
22,22,0.0,2025-11-07 19:31:24.240774,2025-11-07 19:31:30.188937,0 days 00:00:05.948163,79,159,55,887,90,0.03947395439705886,200,COMPLETE
23,23,0.0,2025-11-07 19:31:30.189618,2025-11-07 19:31:33.640414,0 days 00:00:03.450796,156,178,47,631,119,0.04127588208451113,167,COMPLETE
24,24,0.0,2025-11-07 19:31:33.640687,2025-11-07 19:31:35.780876,0 days 00:00:02.140189,200,118,55,289,136,0.0368355437222846,139,COMPLETE
25,25,0.0,2025-11-07 19:31:35.781140,2025-11-07 19:31:39.581994,0 days 00:00:03.800854,105,151,38,559,60,0.04451653598145941,176,COMPLETE
26,26,0.0,2025-11-07 19:31:39.582403,2025-11-07 19:31:43.489809,0 days 00:00:03.907406,131,199,45,757,163,0.04761390591051239,77,COMPLETE
27,27,0.0,2025-11-07 19:31:43.490034,2025-11-07 19:31:46.013683,0 days 00:00:02.523649,145,180,52,563,142,0.03945781939739998,99,COMPLETE
28,28,0.0,2025-11-07 19:31:46.013892,2025-11-07 19:31:49.636263,0 days 00:00:03.622371,89,141,40,885,185,0.044974388033293546,120,COMPLETE
29,29,0.0,2025-11-07 19:31:49.636625,2025-11-07 19:31:52.708573,0 days 00:00:03.071948,63,165,15,687,92,0.03777802231037482,140,COMPLETE
30,30,0.0,2025-11-07 19:31:52.708797,2025-11-07 19:31:56.530769,0 days 00:00:03.821972,176,115,31,947,119,0.04148317133282256,159,COMPLETE
31,31,0.0,2025-11-07 19:31:56.530983,2025-11-07 19:31:59.287467,0 days 00:00:02.756484,68,159,13,649,83,0.035420792167328526,147,COMPLETE
32,32,0.0,2025-11-07 19:31:59.287694,2025-11-07 19:32:02.269745,0 days 00:00:02.982051,75,168,20,765,108,0.03409821753732438,178,COMPLETE
33,33,0.0,2025-11-07 19:32:02.270012,2025-11-07 19:32:05.085474,0 days 00:00:02.815462,61,187,34,599,76,0.03795959407786632,188,COMPLETE
34,34,0.0,2025-11-07 19:32:05.085756,2025-11-07 19:32:07.408928,0 days 00:00:02.323172,77,169,28,472,99,0.038978781002037124,160,COMPLETE
35,35,0.0,2025-11-07 19:32:07.409201,2025-11-07 19:32:09.141372,0 days 00:00:01.732171,98,149,10,245,153,0.03660594259534115,132,COMPLETE
36,36,0.0,2025-11-07 19:32:09.141602,2025-11-07 19:32:11.235556,0 days 00:00:02.093954,85,103,23,390,123,0.03304902440181273,181,COMPLETE
37,37,0.0,2025-11-07 19:32:11.235766,2025-11-07 19:32:14.766676,0 days 00:00:03.530910,69,136,57,855,138,0.04333808917687428,154,COMPLETE
38,38,0.0,2025-11-07 19:32:14.766941,2025-11-07 19:32:16.111609,0 days 00:00:01.344668,124,191,32,104,153,0.03426248946847728,196,COMPLETE
39,39,0.0,2025-11-07 19:32:16.111785,2025-11-07 19:32:17.776714,0 days 00:00:01.664929,113,172,44,204,64,0.04009337284584167,101,COMPLETE
40,40,0.0,2025-11-07 19:32:17.777250,2025-11-07 19:32:20.734123,0 days 00:00:02.956873,154,143,49,668,198,0.030981789404803294,88,COMPLETE
41,41,0.0,2025-11-07 19:32:20.734325,2025-11-07 19:32:22.504626,0 days 00:00:01.770301,96,95,15,289,76,0.03564781933364146,185,COMPLETE
42,42,0.0,2025-11-07 19:32:22.504824,2025-11-07 19:32:24.895328,0 days 00:00:02.390504,81,108,41,513,100,0.03836555755093181,170,COMPLETE
43,43,0.0,2025-11-07 19:32:24.895554,2025-11-07 19:32:26.455324,0 days 00:00:01.559770,71,127,37,175,92,0.03675179755051423,187,COMPLETE
44,44,0.0,2025-11-07 19:32:26.455525,2025-11-07 19:32:27.844314,0 days 00:00:01.388789,63,70,22,142,83,0.03236930731838482,122,COMPLETE
45,45,0.0,2025-11-07 19:32:27.844494,2025-11-07 19:32:29.871087,0 days 00:00:02.026593,167,122,29,222,113,0.04897104699580351,132,COMPLETE
46,46,0.0,2025-11-07 19:32:29.871317,2025-11-07 19:32:33.224444,0 days 00:00:03.353127,194,96,42,812,171,0.037256173811804835,143,COMPLETE
47,47,0.0,2025-11-07 19:32:33.224664,2025-11-07 19:32:37.067754,0 days 00:00:03.843090,92,109,34,982,129,0.03493243959755906,63,COMPLETE
48,48,0.0,2025-11-07 19:32:37.068015,2025-11-07 19:32:39.188783,0 days 00:00:02.120768,107,83,18,407,102,0.04236806811594387,193,COMPLETE
49,49,0.0,2025-11-07 19:32:39.188983,2025-11-07 19:32:42.399341,0 days 00:00:03.210358,74,133,45,763,126,0.03877219013626742,156,COMPLETE
50,50,0.0,2025-11-07 19:32:42.399642,2025-11-07 19:32:46.131350,0 days 00:00:03.731708,83,183,57,925,69,0.040343169822633536,117,COMPLETE
51,51,0.0,2025-11-07 19:32:46.131555,2025-11-07 19:32:48.278486,0 days 00:00:02.146931,183,76,25,272,144,0.049664148988631904,174,COMPLETE
52,52,0.0,2025-11-07 19:32:48.278684,2025-11-07 19:32:49.713334,0 days 00:00:01.434650,191,60,17,162,147,0.047160300441336934,184,COMPLETE
53,53,0.0,2025-11-07 19:32:49.713514,2025-11-07 19:32:51.480301,0 days 00:00:01.766787,164,153,10,325,165,0.04845459233985291,165,COMPLETE
54,54,0.0,2025-11-07 19:32:51.480485,2025-11-07 19:32:52.859815,0 days 00:00:01.379330,143,173,12,142,157,0.046282859010098834,200,COMPLETE
55,55,0.0,2025-11-07 19:32:52.860000,2025-11-07 19:32:55.568787,0 days 00:00:02.708787,153,89,39,619,191,0.04812262171337032,128,COMPLETE
56,56,0.0,2025-11-07 19:32:55.568993,2025-11-07 19:33:00.789384,0 days 00:00:05.220391,129,164,53,721,116,0.04181489425795044,79,COMPLETE
57,57,0.0,2025-11-07 19:33:00.789703,2025-11-07 19:33:05.206730,0 days 00:00:04.417027,169,145,20,843,138,0.04346165409861455,192,COMPLETE
58,58,0.0,2025-11-07 19:33:05.207029,2025-11-07 19:33:06.771113,0 days 00:00:01.564084,176,195,49,199,181,0.03611351877494629,147,COMPLETE
59,59,0.0,2025-11-07 19:33:06.771313,2025-11-07 19:33:09.248493,0 days 00:00:02.477180,160,73,32,582,133,0.034329615482958854,169,COMPLETE
60,60,0.0,2025-11-07 19:33:09.248709,2025-11-07 19:33:12.087422,0 days 00:00:02.838713,138,122,46,237,169,0.045238822817536065,180,COMPLETE
61,61,0.0,2025-11-07 19:33:12.087827,2025-11-07 19:33:15.163732,0 days 00:00:03.075905,66,131,28,512,148,0.031686289271759024,68,COMPLETE
62,62,0.0,2025-11-07 19:33:15.164010,2025-11-07 19:33:19.832501,0 days 00:00:04.668491,72,139,25,670,158,0.03022241808592125,105,COMPLETE
63,63,0.0,2025-11-07 19:33:19.832764,2025-11-07 19:33:23.131591,0 days 00:00:03.298827,78,160,36,784,177,0.03312571034891038,136,COMPLETE
64,64,0.0,2025-11-07 19:33:23.131923,2025-11-07 19:33:26.081973,0 days 00:00:02.950050,67,154,31,628,143,0.037249389574824814,91,COMPLETE
65,65,0.0,2025-11-07 19:33:26.082239,2025-11-07 19:33:29.420903,0 days 00:00:03.338664,122,98,43,703,134,0.03980895319324013,80,COMPLETE
66,66,0.0,2025-11-07 19:33:29.421127,2025-11-07 19:33:32.235966,0 days 00:00:02.814839,91,116,34,540,129,0.040716455623196215,71,COMPLETE
67,67,0.0,2025-11-07 19:33:32.236334,2025-11-07 19:33:35.463346,0 days 00:00:03.227012,61,108,39,736,149,0.03818816439774741,117,COMPLETE
68,68,0.0,2025-11-07 19:33:35.463574,2025-11-07 19:33:37.429915,0 days 00:00:01.966341,189,182,22,349,109,0.039134615878266284,60,COMPLETE
69,69,0.0,2025-11-07 19:33:37.430208,2025-11-07 19:33:39.598553,0 days 00:00:02.168345,87,147,30,432,140,0.03614703265323401,192,COMPLETE
70,70,0.0,2025-11-07 19:33:39.598755,2025-11-07 19:33:41.949620,0 days 00:00:02.350865,116,176,14,483,123,0.03475270772174358,174,COMPLETE
71,71,0.0,2025-11-07 19:33:41.949888,2025-11-07 19:33:45.255320,0 days 00:00:03.305432,104,186,27,840,186,0.03330728602243814,83,COMPLETE
72,72,0.0,2025-11-07 19:33:45.255516,2025-11-07 19:33:48.656219,0 days 00:00:03.400703,75,163,33,899,199,0.03224444710069593,94,COMPLETE
73,73,0.0,2025-11-07 19:33:48.656447,2025-11-07 19:33:51.954667,0 days 00:00:03.298220,65,193,26,872,192,0.03229268581358455,65,COMPLETE
74,74,0.0,2025-11-07 19:33:51.954900,2025-11-07 19:33:55.070761,0 days 00:00:03.115861,80,127,19,783,182,0.0336832097300442,99,COMPLETE
75,75,0.0,2025-11-07 19:33:55.071201,2025-11-07 19:33:58.422604,0 days 00:00:03.351403,95,176,24,665,156,0.031419636323906645,75,COMPLETE
76,76,0.0,2025-11-07 19:33:58.422929,2025-11-07 19:34:02.975210,0 days 00:00:04.552281,70,169,16,958,195,0.0375499807727541,87,COMPLETE
77,77,0.0,2025-11-07 19:34:02.975800,2025-11-07 19:34:04.783291,0 days 00:00:01.807491,149,90,29,260,96,0.04620041726534804,162,COMPLETE
78,78,0.0,2025-11-07 19:34:04.783490,2025-11-07 19:34:06.108974,0 days 00:00:01.325484,100,140,37,128,85,0.03571686440661708,105,COMPLETE
79,79,0.0,2025-11-07 19:34:06.109157,2025-11-07 19:34:08.495473,0 days 00:00:02.386316,84,81,12,595,172,0.04995437250311543,197,COMPLETE
80,80,0.0,2025-11-07 19:34:08.495679,2025-11-07 19:34:11.975353,0 days 00:00:03.479674,60,136,21,995,165,0.03929072859884683,182,COMPLETE
81,81,0.0,2025-11-07 19:34:11.975614,2025-11-07 19:34:13.607221,0 days 00:00:01.631607,128,102,58,187,74,0.04439146655653963,189,COMPLETE
82,82,0.0,2025-11-07 19:34:13.607419,2025-11-07 19:34:16.965597,0 days 00:00:03.358178,112,110,55,921,62,0.04318417629803165,178,COMPLETE
83,83,0.0,2025-11-07 19:34:16.965867,2025-11-07 19:34:18.748760,0 days 00:00:01.782893,109,120,53,293,68,0.04538815307965885,187,COMPLETE
84,84,0.0,2025-11-07 19:34:18.748945,2025-11-07 19:34:20.257245,0 days 00:00:01.508300,117,93,52,219,80,0.03856209914369365,126,COMPLETE
85,85,0.0,2025-11-07 19:34:20.257426,2025-11-07 19:34:21.634818,0 days 00:00:01.377392,136,64,59,161,68,0.040851285252677,197,COMPLETE
86,86,0.0,2025-11-07 19:34:21.634996,2025-11-07 19:34:22.904058,0 days 00:00:01.269062,126,156,48,101,88,0.04189707250744872,112,COMPLETE
87,87,0.0,2025-11-07 19:34:22.904235,2025-11-07 19:34:25.603291,0 days 00:00:02.699056,73,113,50,739,145,0.043989125556458,145,COMPLETE
88,88,0.0,2025-11-07 19:34:25.603515,2025-11-07 19:34:28.404135,0 days 00:00:02.800620,143,106,41,691,152,0.04734994888493262,191,COMPLETE
89,89,0.0,2025-11-07 19:34:28.404364,2025-11-07 19:34:31.725504,0 days 00:00:03.321140,120,151,55,828,125,0.03268835457628308,154,COMPLETE
90,90,0.0,2025-11-07 19:34:31.725848,2025-11-07 19:34:34.757852,0 days 00:00:03.032004,180,189,30,795,138,0.03376234795612321,135,COMPLETE
91,91,0.0,2025-11-07 19:34:34.758053,2025-11-07 19:34:36.081927,0 days 00:00:01.323874,132,86,44,132,195,0.04882234927178348,97,COMPLETE
92,92,0.0,2025-11-07 19:34:36.082106,2025-11-07 19:34:37.351810,0 days 00:00:01.269704,159,126,35,126,190,0.04647338566080984,85,COMPLETE
93,93,0.0,2025-11-07 19:34:37.351987,2025-11-07 19:34:38.727463,0 days 00:00:01.375476,198,100,42,164,179,0.04939397161377625,92,COMPLETE
94,94,0.0,2025-11-07 19:34:38.727645,2025-11-07 19:34:40.194504,0 days 00:00:01.466859,64,130,46,218,72,0.04813727730957856,141,COMPLETE
95,95,0.0,2025-11-07 19:34:40.194681,2025-11-07 19:34:41.589719,0 days 00:00:01.395038,172,173,38,193,186,0.04773715858093735,74,COMPLETE
96,96,0.0,2025-11-07 19:34:41.589898,2025-11-07 19:34:44.265779,0 days 00:00:02.675881,68,105,40,643,196,0.0490945039356338,150,COMPLETE
97,97,0.0,2025-11-07 19:34:44.266017,2025-11-07 19:34:46.128885,0 days 00:00:01.862868,77,144,32,317,80,0.03970684644754044,185,COMPLETE
98,98,0.0,2025-11-07 19:34:46.129067,2025-11-07 19:34:47.732681,0 days 00:00:01.603614,148,180,51,250,200,0.036476804536233615,195,COMPLETE
99,99,0.0,2025-11-07 19:34:47.732862,2025-11-07 19:34:49.053333,0 days 00:00:01.320471,82,134,23,114,130,0.03709398420221377,67,COMPLETE
